Location ID,Location,Address,Municipality,Rollup,Zone,Parking Type,Vendor,Rate,Spaces - Total,Spaces - Core,Spaces - One-Way,Utilization - Core,Utilization - One-Way,Latitude,Longitude,Core Util. Cat.
53024132,Drydock Ave/Tide St - Boston Design Ctr,1 Design Center Place ,Boston,Boston,Seaport/Innovation District,surface lot,$0.00,$0.00,2,1,1,52%,MIDDLE 50%,42.34465908,-71.03211508,43%-100%
1525369302,E 1st St/P St,893 East First St,Boston,Boston,South Boston,surface lot,"Admiral Farragut, LLC",$250.00,13,4,9,28%,BOTTOM 25%,42.33820271,-71.027452,0%-28%
19457335,E Newton St/BioSquare Dr - BU Medical (On-Street),670 Albany St,Boston,Boston,South End,on street private,Boston Medical ,$230.00,2,0,2,#N/A,MIDDLE 50%,42.33547442,-71.06947699,#N/A
28239989,Earhart Landing/Constitution Way,50 Station Landing,Medford,Boston,Medford,surface lot,Arborpoint Apartments,$0.00,2,0,2,1%,BOTTOM 25%,42.4038348,-71.0803933,0%-28%
1127912413,Ellery St/Dexter St,7 Ellery Street,Boston,Boston,South Boston,surface lot,"Andrew Square Post, LLC",$175.00,4,1,3,27%,BOTTOM 25%,42.33020816,-71.05839029,0%-28%
1836168,Elmwood St/Somerville Community Path,99 Elmwood St,Somerville,Boston,Cambridge North and West,surface lot,Davis Park Development,$175.00,10,5,5,37%,BOTTOM 25%,42.3978483,-71.1286242,36%-42%
46591219,Fidelis Way/Washington St,76 Fidelis Way ,Brighton,Boston,Allston/BU,surface lot,The Hamilton Company,$135.00,3,1,2,27%,MIDDLE 50%,42.3456947,-71.1451325,0%-28%
891860,Forest Hills T,Hyde Park Ave at Woodlawn St ,Jamaica Plain,Boston,Roslindale,surface lot,MBTA,$180.00,4,3,1,43%,MIDDLE 50%,42.29988123,-71.11403206,43%-100%
23384410,Franklin St/India St,51 India Street,Boston,Boston,Financial District,surface lot,"INGR Fifty Five, LLC",$400.00,10,3,7,29%,TOP 25%,42.35786212,-71.05234873,29%-35%
95213867,Galen St/Aldrich Rd - Archstone Watertown Sq (Rear Lot),21 Aldrich Rd,Watertown,Boston,Watertown,surface lot,Equity Residential Management LLC ,$105.00,5,2,3,34%,MIDDLE 50%,42.36339453,-71.18703901,29%-35%
1047415843,Galen St/Water St - BP Service Stn,110 Galen St,Watertown,Boston,Watertown,surface lot,"Galen St Service Station, Inc.",$125.00,4,2,2,26%,BOTTOM 25%,42.36146296,-71.18532848,0%-28%
96033,Green St/Pleasant St,12 Pleasant St ,Cambridge,Boston,Cambridge Central/Harvard,surface lot,City of Cambridge,$250.00,3,2,1,41%,BOTTOM 25%,42.36584573,-71.10622752,36%-42%
25614168,Green St/Western Ave,355 Green Street,Cambridge,Boston,Cambridge Central/Harvard,surface lot,"Stone River Properties, LLC",$220.00,10,4,6,35%,MIDDLE 50%,42.365492,-71.10507,29%-35%
154331682,Harbor Point Blvd/Mt Vernon St - Harbor Point Apts,322 Mount Vernon Street,Boston,Boston,Dorchester North,surface lot,Harbor Point,$0.00,3,2,1,40%,MIDDLE 50%,42.3184192,-71.043907,36%-42%
316372121,Hayward St/Amherst St - MIT,55 Hayward St,Cambridge,Boston,Cambridge East/Kendall-MIT,surface lot,MIT,$0.00,3,2,1,31%,TOP 25%,42.3616301,-71.0852878,29%-35%
733298761,Highland Ave/Central St,155 Highland Ave,Somerville,Boston,Somerville,surface lot,RFR  Realty Trust,$170.00,5,2,3,29%,TOP 25%,42.38862635,-71.10347472,29%-35%
368626224,Holden St/Farrar St - Harvard University (On-Street),20 Holden St,Cambridge,Boston,Cambridge North and West,on street private,Harvard University,$0.00,2,1,1,38%,MIDDLE 50%,42.37865102,-71.10826739,36%-42%
9762236,JFK/UMass T,233 Sydney St,Boston,Boston,Dorchester North,surface lot,MBTA,$150.00,4,3,1,32%,MIDDLE 50%,42.32023515,-71.05312222,29%-35%
1459632994,LaGrange St/Tamworth St,47 LaGrange St,Boston,Boston,Financial District,surface lot,Standard Parking Corporation,$425.00,10,6,4,31%,MIDDLE 50%,42.35170221,-71.06408254,29%-35%
1383154677,Linden St/Main St - Waltham,49 Linden St,Waltham,Boston,Waltham,surface lot,New Creek LLC,$300.00,2,0,2,23%,MIDDLE 50%,42.37834733,-71.22428269,0%-28%
1451000756,Logan International Airport - Avis/Budget (ONE>WAY),15 Transportation Way,East Boston,Boston,East Boston,parking garage,$0.00,$0.00,5,0,5,#N/A,MIDDLE 50%,42.3685886,-71.0300905,#N/A
321797870,Maffa Way,50 Maffa Way,Charlestown,Boston,East Somerville/Winter Hill,surface lot,Patriot Parking LLC,$150.00,6,3,3,28%,BOTTOM 25%,42.3846999,-71.0752736,0%-28%
1400043409,Magazine St/Riverside Rd,196 Magazine St,Cambridge,Boston,Cambridge Central/Harvard,surface lot,New Creek LLC,$300.00,3,1,2,32%,MIDDLE 50%,42.35722505,-71.11344273,29%-35%
44512666,Malden Ctr T,260 Pleasant Street,Malden,Boston,Malden,surface lot,MBTA,$165.00,2,1,1,45%,TOP 25%,42.42653923,-71.07494742,43%-100%
95802,Mass Ave/Blake St - Hess Stn - Cambridge,2055 Massachusetts Ave,Cambridge,Boston,Cambridge North and West,surface lot,Hess Retail Operations LLC,$150.00,2,1,1,39%,TOP 25%,42.3912318,-71.1224047,36%-42%
9316940,Mass Ave/Columbus St,460 Massachusetts Ave ,Boston,Boston,South End,surface lot,United South End,$320.00,5,3,2,46%,TOP 25%,42.3404044,-71.0811573,43%-100%
1114156,Mass Ave/Garfield St - Junior's Automotive & Gas - Cambridge,1725 Massachusetts Ave,Cambridge,Boston,Cambridge North and West,surface lot,Mass Ave Gulf,$250.00,4,2,2,42%,MIDDLE 50%,42.3840107,-71.1190771,36%-42%
98495942,Mass Ave/Langdon St - Cambridge (Rear Lot),1638 Massachusetts Avenue,Cambridge,Boston,Cambridge North and West,surface lot,Chestnut Hill Realty,$225.00,2,1,1,26%,BOTTOM 25%,42.38093827,-71.12049211,0%-28%
169746108,Mass Ave/Lee St,872 Massachusetts Ave,Cambridge,Boston,Cambridge Central/Harvard,surface lot,Alacrity LP,$150.00,2,1,1,38%,MIDDLE 50%,42.36751777,-71.10780716,36%-42%
27536239,Mass Ave/Stone Ct - Cambridge (Rear Lot),1798 Massachusetts Ave,Cambridge,Boston,Cambridge North and West,surface lot,Goldberg-Weiner Realty LLC,$212.50,4,3,1,35%,MIDDLE 50%,42.38599745,-71.11992337,29%-35%
1418575735,McGrath Hwy/Greenville St,434 McGrath Highway,Somerville,Boston,Somerville,surface lot,"Somerville Realty Ventures, LLC",$170.00,10,6,4,26%,MIDDLE 50%,42.38293,-71.0912679,0%-28%
80061893,Mead St/Raymond St,16 Mead Street,Allston,Boston,Allston/BU,surface lot,Fisher Family Limited Partnership,$125.00,5,2,3,26%,MIDDLE 50%,42.3615358,-71.13187385,0%-28%
57755683,North Quincy T,251 Hancock Street,Quincy,Boston,Quincy,surface lot,MBTA,$150.00,8,5,3,32%,MIDDLE 50%,42.27692376,-71.03059709,29%-35%
1531464585,Oxford St - SEAS - Harvard University,13 Oxford St,Cambridge,Boston,Cambridge North and West,surface lot,$0.00,$0.00,2,0,2,#N/A,TOP 25%,42.37796039,-71.11733985,#N/A
13933458,Park Dr/Jersey St (Rear Alley),81 Park Drive,Boston,Boston,Fenway/Longwood Medical Area,surface lot,"81 Park Drive, LLC",$200.00,16,11,5,33%,MIDDLE 50%,42.34247974,-71.09619856,29%-35%
295290934,Parmelee St (Alley),10 Parmelee St,Boston,Boston,South End,surface lot,Parmele Court Homes,$125.00,8,2,6,43%,BOTTOM 25%,42.33566947,-71.07670158,43%-100%
95985,Parsons St/Washington St - Brighton,425 Washington St,Brighton,Boston,Brighton,surface lot,Kandu Development LLC,$150.00,16,10,6,27%,MIDDLE 50%,42.3493073,-71.1561705,0%-28%
684892633,Pingree St,24 Pingree St,Hyde Park,Boston,Roslindale,surface lot,"Hyde Park Main St, Inc.",$100.00,8,5,3,28%,BOTTOM 25%,42.254865,-71.125035,0%-28%
1562011933,Preble St/Rogers St,37 Preble St,Boston,Boston,South Boston,surface lot,South Boston Neighborhood Development Corp.,$200.00,6,3,3,27%,BOTTOM 25%,42.3292653,-71.0554519,0%-28%
1701113064,Public Alley 419 btwn Dartmouth St & Clarendon St (Alley),235 Beacon Street,Boston,Boston,Back Bay,alley,Goodrich Residential LLC,$400.00,1,0,1,2%,#N/A,42.353879,-71.078187,0%-28%
57756637,Quincy Adams T,480 Centre Street,Quincy,Boston,Quincy,surface lot,MBTA,$210.00,6,5,1,31%,BOTTOM 25%,42.23240601,-71.00756228,29%-35%
49271126,Riverside T,333 Grove Street,Newton,Boston,MKT Boston Suburbs West,surface lot,MBTA,$172.50,3,1,2,12%,MIDDLE 50%,42.33670857,-71.25305415,0%-28%
47812489,Roslindale Village Commuter Rail,1 South Conway St,Roslindale,Boston,Roslindale,surface lot,MBTA,$120.00,8,3,5,30%,MIDDLE 50%,42.287797,-71.130213,29%-35%
315880864,Savin Hill Ave/Grampian Way,141 Savin Hill Ave,Boston,Boston,Dorchester North,surface lot,Savin Hill Condo Trust,$165.00,2,1,1,25%,#N/A,42.31017663,-71.0518431,0%-28%
1047418975,Silver St/Dorchester Ave - 11 West Apts,10 Silver St ,Boston,Boston,South Boston,parking garage,Eleven West LLC,$250.00,2,1,1,34%,MIDDLE 50%,42.3420312,-71.0568166,29%-35%
6278774,Somerville Ave/Beacon St - Somerville,765 Somerville Ave,Somerville,Boston,Somerville,surface lot,Porter Sq Realty,$150.00,5,2,3,47%,MIDDLE 50%,42.38716987,-71.11555902,43%-100%
53671493,St Marys St/Monmouth St,164 St Marys St,Brookline,Boston,Brookline,parking garage,100 Monmouth Street LLC,$235.00,11,7,4,25%,MIDDLE 50%,42.3449046,-71.1061225,0%-28%
20685413,St Paul/Thatcher,319 St Paul Street,Brookline,Boston,Brookline,surface lot,Gene Hashkes,$275.00,2,1,1,25%,BOTTOM 25%,42.34882444,-71.11577258,0%-28%
1315339614,Stillings St/Calvin Pl (On-Street),29 Stillings St,Boston ,Boston,Seaport/Innovation District,on street private,$0.00,$355.45,11,6,5,#N/A,TOP 25%,42.35104812,-71.04682314,#N/A
96114,Stone Ave/Union Sq,11 Stone Avenue,Somerville,Boston,Somerville,surface lot,Union Square Realty Trust,$100.00,3,1,2,38%,TOP 25%,42.3801788,-71.09545211,36%-42%
121921419,Stoneman Campus Safety Building Parking Lot,415 South Street,Waltham,Brandeis University,Waltham,surface lot,Brandeis University,$0.00,3,2,1,15%,#N/A,42.36640007,-71.25485792,0%-28%
1333337511,Summer St/Pumphouse Rd,492 Summer St,Boston,Boston,Seaport/Innovation District,surface lot,Standard Parking,$230.00,4,2,2,23%,MIDDLE 50%,42.3454775,-71.040771,0%-28%
105366880,Summer St/School St,73 Summer St,Somerville,Boston,Somerville,surface lot,Somerville Gas,$175.00,3,2,1,40%,TOP 25%,42.38469983,-71.1003133,36%-42%
6591148,Sutherland Rd/Selkirk Rd,85 Sutherland Road,Boston,Boston,Allston/BU,surface lot,Sutherland East,$150.00,2,1,1,42%,MIDDLE 50%,42.33918251,-71.14884164,36%-42%
684954727,Sydney St/Carson St,19 Carson St,Dorchester,Boston,Dorchester North,surface lot,Columbia Park Condominium Trust,$100.00,15,8,7,23%,MIDDLE 50%,42.32003954,-71.05348736,0%-28%
1327143404,Thatcher St/Pleasant St - Dexter Park Apts,73 Thatcher St ,Brookline,Boston,Brookline,surface lot,Hamilton Park Towers,$243.33,15,11,4,30%,BOTTOM 25%,42.3488039,-71.1177519,29%-35%
95545384,Third St/Bent St - Archstone Apts,253 Third Street,Cambridge,Boston,Cambridge East/Kendall-MIT,surface lot,Equity Residential Management LLC ,$105.00,4,1,3,33%,MIDDLE 50%,42.36689155,-71.08192652,29%-35%
42050048,Trask St/Harrison Ave (Alley),79 Trask St ,Boston,Boston,South End,alley,701-703 Mass Ave Condo Trust,$150.00,2,1,1,31%,BOTTOM 25%,42.3348841,-71.0757283,29%-35%
199242956,Vancouver St/Ward St - MassArt (On-Street),90 Vancouver St,Boston,Boston,Fenway/Longwood Medical Area,on street private,MassArt,$0.00,3,2,1,28%,TOP 25%,42.33586575,-71.09761477,0%-28%
93211010,Victoria St/Broadway,8 Victoria St,Somerville,Boston,Somerville,surface lot,Teele Square Auto,$100.00,3,1,2,54%,MIDDLE 50%,42.40533307,-71.13115043,43%-100%
1376019434,Village Ct/E Berkeley St - Castle Sq Apts,2 Village Ct,Boston,Boston,South End,surface lot,CSTO Winn Owner LLC,$250.00,4,1,3,34%,MIDDLE 50%,42.3450041,-71.069002,29%-35%
1459619149,W 8th St/F St,199 W 8th St,Boston,Boston,South Boston,surface lot,Truman Realty Trust,$225.00,4,3,1,26%,MIDDLE 50%,42.33330022,-71.05177439,0%-28%
449008367,Washington St/Arborway - Roslindale,3696 Washington St ,Boston,Boston,Roslindale,surface lot,LAZ Parking - Boston,$175.00,7,3,4,39%,MIDDLE 50%,42.30107736,-71.11193374,36%-42%
336304346,Washington St/Inner Belt Rd - Holiday Inn - Somerville,30 Washington St,Somerville,Boston,East Somerville/Winter Hill,surface lot,Holiday Inn Somerville,$120.00,7,4,3,30%,BOTTOM 25%,42.38176308,-71.08190543,29%-35%
102311991,Washington St/Pleasant St,157 Pleasant St,Malden,Boston,Malden,surface lot,157 Pleasant St Malden Realty Trust,$150.00,2,1,1,35%,#N/A,42.42755884,-71.07100725,29%-35%
1686922575,Washington St/Rossmore Rd - JP Car Wash (Rear Lot),25 Rossmore Road,Boston,Boston,Jamaica Plain,surface lot,"PJ Janis Co., Inc.",$150.00,4,2,2,32%,BOTTOM 25%,42.30509597,-71.10770141,29%-35%
711151449,Washington St/South St - Alfa Auto Fuel - Roslindale,4139 Washington St,Roslindale,Boston,Roslindale,surface lot,AMG LLC,$160.00,8,6,2,56%,BOTTOM 25%,42.28933566,-71.12526375,43%-100%
1047429598,Washington St/W Winter Pl - Malden,235 Washington St,Malden,Boston,Malden,surface lot,Robert L. Zeraschi,$170.00,1,0,1,#N/A,MIDDLE 50%,42.43496934,-71.07178838,#N/A
1401307535,West Newton Commuter Rail,1395 Washington St,Newton,Boston,MKT Boston Suburbs West,surface lot,MBTA,$120.00,2,1,1,18%,BOTTOM 25%,42.34808587,-71.22982913,0%-28%
1382608789,West Roxbury Commuter Rail,433 Lagrange St,West Roxbury,Boston,Roslindale,surface lot,MBTA,$120.00,2,1,1,18%,BOTTOM 25%,42.2812145,-71.159267,0%-28%
1048349771,Weston Ave/Chester St - Extra Space Storage,21 Weston Ave,Quincy,Boston,Quincy,surface lot,Extra Storage Space,$175.75,4,3,1,15%,BOTTOM 25%,42.26803211,-71.02150197,0%-28%
26085288,Winslow Rd/Babcock St,222 Babcock St,Brookline,Boston,Brookline,surface lot,The Hamilton Company,$225.00,3,2,1,28%,BOTTOM 25%,42.3507311,-71.1216716,0%-28%
163090059,Wollaston T,Woodbine St & Greenwood Ave,Quincy,Boston,Quincy,surface lot,MBTA,$150.00,3,2,1,34%,MIDDLE 50%,42.26677496,-71.0197219,29%-35%
49271012,Woodland T,1940 Washington Street,Newton,Boston,MKT Boston Suburbs West,parking garage,MBTA,$180.00,3,2,1,6%,BOTTOM 25%,42.33211633,-71.2413463,0%-28%
113835360,Wooley Ave/Kingsbury Ave - The Arsenal on the Charles,Wooley Ave at Kingsbury Ave,Watertown,Boston,Watertown,parking garage,The Arsenal on the Charles,$0.00,2,1,1,32%,TOP 25%,42.36292002,-71.1655283,29%-35%
